order_id,customer_id,order_date,amount,status
703,62,2026-02-23,425.42,cancelled
93,200,2026-06-12,215.45,pending
624,2,2026-08-21,482.44,pending
695,61,2026-08-19,154.37,pending
249,12,2025-11-20,,refunded
582,96,2025-10-06,398.47,cancelled
30,34,2026-03-05,466.96,completed
694,148,,300.97,cancelled
735,172,2025-10-09,29.01,completed
764,193,2025-11-08,411.24,refunded
523,52,,65.71,completed
676,97,2026-01-26,44.72,pending
229,141,2025-12-23,69.85,cancelled
218,83,2025-12-06,336.72,pending
97,171,2025-09-24,267.91,cancelled
387,75,2025-11-10,167.42,
437,55,2026-04-29,174.16,refunded
729,66,2026-01-22,382.86,refunded
230,113,2026-01-28,441.02,refunded
743,138,2026-04-23,488.85,completed
517,102,2025-09-19,160.62,cancelled
697,77,2026-08-12,141.2,pending
586,36,2025-12-17,358.23,refunded
364,169,,243.68,completed
59,90,2026-07-02,156.07,pending
20,173,2026-02-06,431.6,refunded
186,39,2025-09-05,78.85,cancelled
521,181,2026-03-27,225.91,cancelled
417,158,2026-03-03,299.07,refunded
553,161,2026-08-31,275.06,cancelled
499,22,2025-10-06,364.91,completed
372,18,2025-12-21,75.23,completed
287,199,2025-09-27,400.44,cancelled
690,113,2026-03-04,,pending
333,34,2026-05-17,12.36,pending
685,9,2026-03-31,405.69,refunded
149,163,2026-05-05,446.33,refunded
434,33,2026-01-19,336.71,
308,157,2026-03-14,,completed
554,124,2026-02-28,126.21,refunded
775,48,2026-01-11,341.45,refunded
95,143,2026-07-18,128.35,completed
324,24,2026-06-25,333.07,completed
773,116,2026-02-14,247.85,cancelled
765,20,,153.14,pending
277,74,2026-05-24,340.42,pending
42,12,2025-11-13,6.76,pending
236,184,2026-08-03,149.47,cancelled
110,53,2026-04-25,417.28,refunded
759,55,2026-05-13,451.13,refunded
328,151,2025-09-07,111.9,pending
718,199,2026-03-25,145.11,refunded
248,60,2026-05-03,,refunded
25,62,2026-01-26,136.48,pending
538,175,2025-10-23,261.09,pending
361,185,2026-08-23,30.47,cancelled
447,60,2026-05-23,269.34,cancelled
588,84,2025-10-03,466.03,cancelled
11,43,,192.59,refunded
744,129,2026-04-08,407.51,refunded
486,165,2026-06-27,91.67,refunded
796,2,2026-03-22,474.67,cancelled
667,173,2026-04-23,404.42,completed
628,197,,49.28,pending
181,27,2026-03-02,437,cancelled
751,77,2026-05-18,343.6,completed
555,77,2026-01-10,229.5,completed
653,35,2026-05-21,241.7,refunded
571,56,2025-09-03,293.76,completed
283,148,2026-01-06,151.46,cancelled
421,16,2026-07-06,228.01,cancelled
182,121,2026-08-10,241.96,cancelled
800,123,2026-06-30,160.52,refunded
58,57,2026-01-03,103.79,refunded
578,142,2026-03-24,,refunded
727,59,2025-11-13,193.02,pending
266,26,2025-11-16,381.38,completed
174,71,2026-08-02,363.67,cancelled
177,4,2025-11-05,355.47,pending
656,194,2026-08-30,-24.55,pending
410,175,,462.46,cancelled
772,199,2025-12-26,166.56,cancelled
474,153,2025-12-11,-7.77,pending
491,80,2026-03-27,260.11,
14,40,2026-03-02,99,pending
195,62,2026-07-10,91.04,completed
479,135,2026-06-24,274.32,completed
113,2,2025-11-11,471.66,cancelled
568,132,2026-05-30,236.07,cancelled
342,16,2025-12-16,499.3,refunded
132,52,2026-08-17,420.42,pending
244,39,2026-02-01,226.04,refunded
707,63,2025-12-20,131.22,cancelled
481,163,2025-10-11,196.51,cancelled
51,171,2026-03-09,55.88,refunded
74,185,2026-06-15,450.52,cancelled
480,100,2026-07-31,437.3,completed
151,188,2026-04-23,263.26,cancelled
314,95,2026-05-06,336.89,refunded
109,139,,235.63,completed
662,84,2026-03-19,427.97,refunded
142,27,2026-03-18,350.11,cancelled
118,172,2025-12-19,,refunded
495,95,2026-07-09,,refunded
427,174,2025-10-25,300.95,cancelled
241,88,2025-10-28,467.45,cancelled
428,17,2025-12-06,168.2,refunded
640,146,2026-08-16,338.83,pending
785,142,2026-02-27,51.07,cancelled
213,148,2026-05-04,24.91,pending
570,130,2025-10-10,231.33,pending
610,77,2026-08-15,386.73,pending
79,158,2025-11-03,286.71,refunded
386,197,2026-05-25,,cancelled
198,9,2025-10-13,119.58,cancelled
611,177,2026-01-01,353.97,cancelled
618,138,2026-08-24,139.21,cancelled
383,135,2026-08-05,335.23,completed
511,9,2026-03-14,67.48,pending
496,191,2026-04-29,222.67,refunded
733,48,2026-06-24,,completed
175,26,2025-11-05,417.15,cancelled
430,86,2026-04-01,45.34,pending
112,196,2026-04-13,289.97,
35,170,2025-10-15,56.28,pending
167,122,2026-04-26,278.97,cancelled
388,128,2025-12-09,374.77,pending
329,85,2025-11-16,388.31,completed
190,114,2025-12-15,152.19,refunded
503,79,2025-09-05,,refunded
650,79,2026-04-21,84.06,cancelled
659,20,2026-03-06,459.04,completed
638,166,2026-05-09,132.35,pending
359,172,2026-02-05,65.5,cancelled
473,17,2026-03-14,,refunded
306,28,2025-11-06,339.04,refunded
38,73,2026-06-19,304.39,
355,96,2026-08-15,477.03,refunded
705,15,2026-05-15,283.38,refunded
207,180,2025-11-05,204.24,cancelled
382,174,2026-04-26,340.85,refunded
88,122,2025-09-08,307.58,
273,159,2026-02-16,343.15,refunded
271,145,2026-02-14,342.49,pending
673,47,2025-09-18,385.64,refunded
613,74,2026-06-23,65.33,
432,34,2025-10-27,299.55,completed
225,169,2026-04-29,435.34,refunded
6,20,2025-12-23,224.35,completed
216,163,2025-12-29,408.05,completed
155,72,2025-10-08,441.41,pending
145,137,2025-10-22,217.05,cancelled
726,76,2026-04-14,,cancelled
416,74,2026-03-08,42.98,completed
627,83,2026-05-14,146.28,completed
389,34,2026-05-06,193.2,pending
179,142,2026-09-01,149.61,pending
351,111,2026-05-01,228.52,pending
429,73,2026-08-10,129.74,
719,137,2026-08-18,326.12,
505,115,2026-03-03,25.97,cancelled
188,143,2025-10-11,383.4,pending
